player_id	Gender	Age	Savings_amount	Previous_experience_with_game	Game_proficiency	Health_status	Speed	Stability	win_or_lose
1	1	76	289	0	1	1	140	1	0
2	2	49	180	0	0	1	160	2	1
3	2	37	283	0	0	1	130	1	0
4	2	48	214	0	0	0	138	2	1
5	1	54	195	0	0	1	150	1	0
6	1	39	339	0	0	1	120	1	0
7	1	45	237	0	0	1	130	1	0
8	1	54	208	0	1	1	110	1	0
9	2	37	207	0	2	0	140	2	1
10	2	48	284	0	0	1	120	1	0
11	2	37	211	0	1	1	130	1	0
12	2	58	164	0	0	0	136	2	1
13	1	39	204	0	0	1	120	1	0
14	1	49	234	0	5	0	140	2	1
15	2	42	211	0	0	1	115	1	0
16	2	54	273	0	0	1	120	2	0
17	1	38	196	0	1	1	110	2	1
18	1	43	201	0	0	1	120	1	0
19	1	60	248	0	0	1	100	2	1
20	1	36	267	0	0	1	120	2	1
21	1	43	223	0	1	1	100	1	0
22	2	44	184	0	1	1	120	2	0
23	1	49	201	0	0	1	124	1	0
24	1	44	288	0	0	0	150	2	1
25	1	40	215	0	1	1	130	1	0
26	1	36	209	0	1	1	130	1	0
27	2	53	260	0	0	0	124	2	0
28	1	52	284	0	0	1	120	1	0
29	1	53	468	0	0	1	113	1	0
30	2	51	188	0	2	1	125	1	0
31	1	53	518	0	0	1	145	2	1
32	1	56	167	0	2	1	130	1	0
33	1	54	224	0	1	1	125	2	1
34	2	41	172	0	2	1	130	2	1
35	1	43	186	0	0	1	150	1	0
36	2	32	254	0	0	1	125	1	0
37	1	65	306	1	0	1	140	2	1
38	1	41	250	0	1	0	110	1	0
39	1	48	177	1	0	0	120	1	0
40	2	48	227	0	0	1	150	2	0
41	1	54	230	0	0	1	150	1	0
42	2	54	294	0	0	0	130	2	1
43	1	35	264	0	1	1	150	1	0
44	2	52	259	0	0	0	140	1	0
45	2	43	175	0	0	1	120	2	1
46	1	59	318	0	0	1	130	2	0
47	1	37	223	0	1	0	120	1	0
48	2	50	216	0	0	0	140	1	0
49	2	36	340	0	0	1	112	2	0
50	1	41	289	0	0	1	110	2	1
51	1	50	233	0	2	1	130	2	1
52	1	47	205	0	0	1	120	2	1
53	1	45	224	1	0	0	140	1	0
54	1	41	245	0	0	0	130	1	0
55	2	52	180	0	1	0	130	2	0
56	1	51	194	0	0	1	160	1	0
57	1	31	270	0	0	1	120	2	1
58	2	58	213	0	0	0	130	2	1
59	1	54	365	0	0	1	150	1	0
60	1	52	342	0	0	0	112	2	1
61	2	49	253	0	0	1	100	1	0
62	1	43	254	0	0	1	150	1	0
63	1	45	224	0	0	0	140	1	0
64	1	46	277	0	0	1	120	2	1
65	2	50	202	0	0	1	110	1	0
66	2	37	260	0	0	1	120	1	0
67	1	45	297	0	0	0	132	1	0
68	2	32	225	0	0	1	110	1	0
69	1	52	246	0	0	1	160	2	1
70	1	44	412	0	0	1	150	1	0
71	1	57	265	0	0	1	140	2	1
72	1	44	215	0	0	0	130	1	0
73	1	52	182	0	0	1	120	2	1
74	1	44	218	0	0	0	120	1	0
75	1	55	268	0	0	1	140	2	1
76	1	46	163	0	0	1	150	1	0
77	1	32	529	0	0	1	118	2	1
78	1	35	167	0	0	0	140	1	0
79	2	52	100	0	1	1	140	1	0
80	2	49	206	0	0	1	130	2	1
81	1	55	277	0	0	1	110	1	0
82	1	54	238	0	0	0	120	1	0
83	2	63	223	0	2	1	150	2	1
84	1	52	196	0	0	1	160	1	0
85	2	56	213	1	0	0	150	2	1
86	1	66	139	0	0	1	140	2	1
87	2	65	263	1	2	1	170	2	1
88	1	53	216	0	0	1	140	2	0
89	1	43	291	0	0	1	120	2	1
90	2	55	229	0	0	0	140	2	0
91	2	49	208	0	0	0	110	1	0
92	1	39	307	0	0	0	130	1	0
93	1	52	210	0	0	0	120	1	0
94	1	48	329	0	0	1	160	2	1
95	1	39	182	0	0	0	110	1	0
96	2	58	263	0	0	1	130	2	1
97	2	43	207	0	2	1	142	1	0
98	1	39	147	1	1	1	160	1	0
99	1	56	85	0	0	1	120	1	0
100	1	41	269	0	0	0	125	1	0
101	2	65	275	0	1	1	130	2	1
102	1	51	179	0	0	0	130	1	0
103	1	40	392	0	0	1	150	2	1
104	2	40	466	1	2	0	120	2	1
105	2	46	186	0	2	1	118	2	1
