players	shapes	dead_alive	time_to_end_game
1	star	0	0.2
2	circle	0	0.3
3	circle	0	0.3
4	circle	0	0.3
5	circle	0	0.3
6	circle	0	0.7
7	circle	0	2.3
8	circle	0	5
9	circle	0	7
10	circle	0	7.2
11	circle	0	7.2
12	circle	0	7.4
13	circle	0	7.7
14	circle	0	14.5
15	circle	0	16.2
16	circle	0	18.4
17	circle	0	19
18	circle	0	19.9
19	circle	0	21.4
20	circle	0	21.8
21	circle	0	24.3
22	circle	0	41.1
23	circle	0	41.5
24	circle	0	44.3
25	circle	0	44.9
26	circle	0	48.2
27	circle	0	51.2
28	circle	0	51.5
29	circle	0	52.3
30	circle	0	53.2
31	circle	0	56.9
32	circle	0	57.1
33	circle	0	58.2
34	circle	0	60.4
35	circle	0	60.9
36	circle	0	67.1
37	circle	0	73.6
38	circle	0	75.8
39	circle	0	80
40	circle	0	80.5
41	circle	0	86
42	circle	0	91.4
43	circle	0	95.1
44	circle	0	95.3
45	circle	0	95.6
46	circle	0	99.3
67	circle	1	0.7
68	circle	1	3.6
69	circle	1	3.7
70	circle	1	12.4
71	circle	1	14.2
72	circle	1	15.7
73	circle	1	19.4
74	circle	1	21.4
75	circle	1	23.2
76	circle	1	30
77	circle	1	31.5
78	circle	1	40.6
79	circle	1	45.4
80	circle	1	45.6
81	circle	1	48.5
82	circle	1	49.2
83	circle	1	50.5
84	circle	1	54.3
85	circle	1	54.7
86	circle	1	58.5
87	circle	1	70.9
88	circle	1	77.2
89	circle	1	78.8
90	circle	1	88.3
91	circle	1	91.9
92	circle	1	96.2
101	star	0	0.3
102	star	0	0.3
103	star	0	0.3
104	star	0	0.4
105	star	0	0.6
106	star	0	0.7
107	star	0	0.7
108	star	0	0.8
109	star	0	1.4
110	star	0	3.9
111	star	0	5.5
112	star	0	5.8
113	star	0	8.4
114	star	0	9
115	star	0	10.5
116	star	0	11.4
117	star	0	12.2
118	star	0	13.4
119	star	0	13.9
120	star	0	16.9
121	star	0	18.2
122	star	0	19.4
123	star	0	20.3
124	star	0	20.4
125	star	0	21
126	star	0	23.1
127	star	0	24.2
128	star	0	24.2
129	star	0	27.9
130	star	0	28.7
131	star	0	31.3
132	star	0	31.7
133	star	0	33.3
134	star	0	33.6
135	star	0	34.2
136	star	0	34.3
137	star	0	35.4
138	star	0	37.2
139	star	0	39.5
140	star	0	40.8
141	star	0	41.4
142	star	0	41.6
143	star	0	41.8
144	star	0	42.7
145	star	0	42.8
146	star	0	43.1
147	star	0	43.3
148	star	0	43.4
149	star	0	44.2
150	star	0	44.2
151	star	0	45.4
152	star	0	45.7
153	star	0	46.1
154	star	0	46.1
155	star	0	49.4
156	star	0	51.6
157	star	0	52.3
158	star	0	52.6
159	star	0	53
160	star	0	53.1
161	star	0	54.4
162	star	0	56.6
163	star	0	56.6
164	star	0	56.7
165	star	0	56.9
166	star	0	57.6
167	star	0	58.4
168	star	0	58.5
169	star	0	58.8
170	star	0	60.9
171	star	0	61.1
172	star	0	61.1
173	star	0	61.5
174	star	0	62.2
175	star	0	62.7
176	star	0	63.3
177	star	0	65.1
178	star	0	65.1
