Age,Occupation,Marital_status,Education_level,Savings_amount,Own_car,Own_house,Monthly_income,Dead_or_Alive
59,management,married,secondary,2343,yes,no,1042,Dead
56,management,married,secondary,45,no,no,1467,Dead
41,labourer,married,secondary,1270,yes,no,1389,Dead
55,labourer,married,secondary,2476,yes,no,579,Dead
54,management,married,tertiary,184,no,no,673,Dead
42,management,single,tertiary,0,yes,yes,562,Dead
56,management,married,tertiary,830,yes,yes,1201,Dead
60,unemployed,divorced,secondary,545,yes,no,1030,Dead
37,labourer,married,secondary,1,yes,no,608,Dead
28,labourer,single,secondary,5090,yes,no,1297,Dead
38,management,single,secondary,100,yes,no,786,Dead
30,labourer,married,secondary,309,yes,no,1574,Dead
29,management,married,tertiary,199,yes,yes,1689,Dead
46,labourer,single,tertiary,460,yes,no,1102,Dead
31,labourer,single,tertiary,703,yes,no,943,Dead
35,management,divorced,tertiary,3837,yes,no,1084,Dead
32,labourer,single,primary,611,yes,no,541,Dead
49,labourer,married,secondary,-8,yes,no,1119,Dead
41,management,married,secondary,55,yes,no,1120,Dead
49,management,divorced,secondary,168,yes,yes,513,Dead
28,management,divorced,secondary,785,yes,no,442,Dead
43,management,single,tertiary,2067,yes,no,756,Dead
43,management,divorced,tertiary,388,yes,no,2087,Dead
43,labourer,married,primary,-192,yes,no,1120,Dead
37,unemployed,single,secondary,381,yes,no,985,Dead
35,labourer,single,secondary,40,yes,no,617,Dead
31,labourer,single,tertiary,22,yes,no,483,Dead
43,labourer,single,secondary,3,yes,no,929,Dead
31,management,married,secondary,307,yes,no,538,Dead
28,labourer,single,secondary,759,yes,no,710,Dead
32,labourer,married,secondary,-1,yes,no,653,Dead
60,labourer,married,primary,65,yes,no,1028,Dead
26,labourer,single,secondary,82,yes,no,654,Dead
40,labourer,married,secondary,10,yes,no,1692,Dead
33,labourer,divorced,primary,390,yes,no,665,Dead
32,management,single,tertiary,311,no,no,757,Dead
35,labourer,married,primary,414,no,no,504,Dead
33,management,divorced,secondary,5,yes,no,1346,Dead
38,management,married,tertiary,119,yes,no,568,Dead
23,businessman,single,primary,4,yes,no,395,Dead
60,labourer,married,primary,1262,yes,yes,1015,Dead
48,management,married,tertiary,1949,yes,no,683,Dead
45,businessman,divorced,tertiary,-395,yes,no,470,Dead
36,labourer,married,secondary,1165,yes,no,1001,Dead
52,management,married,unknown,2240,yes,no,845,Dead
35,labourer,divorced,primary,300,yes,no,945,Dead
